Scenario,Watershed,LocationType,BMPType,BMPId,SubArea,Reach,Year,Soil moisture onsite,ET onsite,Groundwater recharge onsite,Runoff onsite,TSS onsite,DN onsite,PN onsite,TN onsite,DP onsite,PP onsite,TP onsite,Soil carbon onsite,Biodiversity onsite,Runoff offsite,TSS offsite,DN offsite,PN offsite,TN offsite,DP offsite,PP offsite,TP offsite,BMP cost
Conventional,Sample watershed,IsolatedWetland,ISWET,1,7,4,2001,5.1,2.97,10.2,-5.05,-10.1,-4.9,-14.85,-8.88,-5,-14.7,-11.5,5.05,30.6,-0.49,-0.99,-0.48,-1.45,-0.87,-0.49,-1.44,-1.13,200
Conventional,Sample watershed,IsolatedWetland,ISWET,1,7,4,2002,5.05,3.03,9.8,-5,-10.1,-5,-15.3,-9.12,-4.95,-14.7,-11.48,4.95,30,-0.49,-0.99,-0.49,-1.5,-0.89,-0.48,-1.44,-1.12,200
Conventional,Sample watershed,IsolatedWetland,ISWET,1,7,4,2003,5.1,2.97,10.1,-5.05,-9.9,-5.05,-15,-9.03,-5,-14.7,-11.5,5.05,29.4,-0.49,-0.97,-0.49,-1.47,-0.88,-0.49,-1.44,-1.13,200
Conventional,Sample watershed,IsolatedWetland,ISWET,1,7,4,2004,4.95,2.94,9.9,-4.95,-10.2,-4.95,-14.7,-8.85,-4.9,-14.85,-11.57,5,30.3,-0.48,-1,-0.48,-1.44,-0.87,-0.48,-1.45,-1.13,200
Conventional,Sample watershed,IsolatedWetland,ISWET,1,7,4,2005,5,3.03,10.1,-4.95,-9.8,-4.9,-14.85,-8.88,-4.95,-14.85,-11.58,5.1,29.7,-0.48,-0.96,-0.48,-1.45,-0.87,-0.48,-1.45,-1.13,200
Conventional,Sample watershed,IsolatedWetland,ISWET,1,7,4,2006,5,3.06,10.1,-4.9,-9.8,-4.9,-14.85,-8.88,-4.9,-15,-11.67,4.9,30,-0.48,-0.96,-0.48,-1.45,-0.87,-0.48,-1.47,-1.14,200
Conventional,Sample watershed,IsolatedWetland,ISWET,1,7,4,2007,5.1,2.94,10.2,-5.1,-10,-5,-15,-9,-5,-15.15,-11.8,4.95,29.4,-0.5,-0.98,-0.49,-1.47,-0.88,-0.49,-1.48,-1.16,200
Conventional,Sample watershed,IsolatedWetland,ISWET,1,7,4,2008,5.1,2.97,10,-5.1,-9.8,-4.9,-15.3,-9.06,-4.95,-15.3,-11.88,5,29.7,-0.5,-0.96,-0.48,-1.5,-0.89,-0.48,-1.5,-1.16,200
Conventional,Sample watershed,IsolatedWetland,ISWET,1,7,4,2009,5,3.03,9.8,-4.9,-10,-4.95,-15,-8.97,-5.05,-15,-11.72,5.05,30,-0.48,-0.98,-0.48,-1.47,-0.88,-0.49,-1.47,-1.15,200
Conventional,Sample watershed,IsolatedWetland,ISWET,1,7,4,2010,4.9,3.03,10.2,-5,-10,-5.05,-15.3,-9.15,-5.1,-15.3,-11.93,5.05,30.3,-0.49,-0.98,-0.49,-1.5,-0.9,-0.5,-1.5,-1.17,200
