Scenario,Watershed,LocationType,BMPType,SubArea,Year,Soil moisture onsite,ET onsite,Groundwater recharge onsite,Runoff onsite,TSS onsite,DN onsite,PN onsite,TN onsite,DP onsite,PP onsite,TP onsite,Soil carbon onsite,Biodiversity onsite,Runoff offsite,TSS offsite,DN offsite,PN offsite,TN offsite,DP offsite,PP offsite,TP offsite,BMP cost
Conventional,Sample watershed,SubArea,GWW,5,2001,1.01,1.01,0.97,-2.91,-9.8,-2.63,-7.13,-4.43,-2.6,-7.73,-6.03,3.03,10.1,-0.19,-0.62,-0.17,-0.45,-0.28,-0.17,-0.49,-0.38,82.1
Existing,Sample watershed,SubArea,GWW,5,2001,0.97,1.03,1,-3,-9.9,-2.43,-7.2,-4.34,-2.6,-7.5,-5.88,3.15,9.7,-0.19,-0.63,-0.15,-0.46,-0.28,-0.17,-0.48,-0.37,73.32
Conventional,Sample watershed,SubArea,GWW,5,2002,0.99,0.98,1.05,-3,-9.5,-2.4,-7.88,-4.59,-2.48,-7.8,-6.04,2.97,9.7,-0.19,-0.6,-0.15,-0.5,-0.29,-0.16,-0.5,-0.38,81.45
Existing,Sample watershed,SubArea,GWW,5,2002,1.02,0.96,1,-2.85,-10.5,-2.45,-7.8,-4.59,-2.6,-7.13,-5.63,3,9.9,-0.18,-0.67,-0.16,-0.5,-0.29,-0.17,-0.45,-0.36,83.79
Conventional,Sample watershed,SubArea,GWW,5,2003,0.98,0.96,1.03,-3.12,-9.8,-2.5,-7.73,-4.59,-2.43,-7.65,-5.93,3.15,10,-0.2,-0.62,-0.16,-0.49,-0.29,-0.15,-0.49,-0.38,89.67
Existing,Sample watershed,SubArea,GWW,5,2003,0.98,1.02,0.96,-2.97,-10.3,-2.45,-7.43,-4.44,-2.58,-7.65,-5.98,2.94,10.3,-0.19,-0.65,-0.16,-0.47,-0.28,-0.16,-0.49,-0.38,61.55
Conventional,Sample watershed,SubArea,GWW,5,2004,1,1.01,0.96,-2.91,-9.8,-2.53,-7.65,-4.58,-2.45,-7.43,-5.78,2.97,10.4,-0.19,-0.62,-0.16,-0.49,-0.29,-0.16,-0.47,-0.37,77.96
Existing,Sample watershed,SubArea,GWW,5,2004,0.97,1.05,1.03,-2.97,-9.9,-2.6,-7.8,-4.68,-2.55,-7.8,-6.07,2.91,10,-0.19,-0.63,-0.17,-0.5,-0.3,-0.16,-0.5,-0.39,76.39
Conventional,Sample watershed,SubArea,GWW,5,2005,0.97,0.95,0.95,-3.15,-9.5,-2.45,-7.2,-4.35,-2.53,-7.13,-5.61,3.03,9.5,-0.2,-0.6,-0.16,-0.46,-0.28,-0.16,-0.45,-0.36,67.02
Existing,Sample watershed,SubArea,GWW,5,2005,0.99,0.96,1.01,-2.91,-9.5,-2.55,-7.28,-4.44,-2.55,-7.65,-5.97,2.97,9.5,-0.19,-0.6,-0.16,-0.46,-0.28,-0.16,-0.49,-0.38,72.09
Conventional,Sample watershed,SubArea,GWW,5,2006,1,0.99,0.95,-3.09,-9.9,-2.5,-7.13,-4.35,-2.63,-7.2,-5.69,2.85,9.6,-0.2,-0.63,-0.16,-0.45,-0.28,-0.17,-0.46,-0.36,85.39
Existing,Sample watershed,SubArea,GWW,5,2006,0.99,1.01,0.97,-2.97,-10.4,-2.55,-7.43,-4.5,-2.63,-7.13,-5.64,3.12,10.3,-0.19,-0.66,-0.16,-0.47,-0.29,-0.17,-0.45,-0.36,72.44
Conventional,Sample watershed,SubArea,GWW,5,2007,1.01,0.97,0.95,-2.85,-10.2,-2.45,-7.88,-4.62,-2.58,-7.43,-5.82,3.03,10.5,-0.18,-0.65,-0.16,-0.5,-0.29,-0.16,-0.47,-0.37,75.55
Existing,Sample watershed,SubArea,GWW,5,2007,1.04,1.05,1.02,-3.09,-9.6,-2.58,-7.28,-4.46,-2.5,-7.2,-5.65,3.09,10.1,-0.2,-0.61,-0.16,-0.46,-0.28,-0.16,-0.46,-0.36,76.86
Conventional,Sample watershed,SubArea,GWW,5,2008,1.04,0.99,0.95,-2.91,-10.3,-2.63,-7.43,-4.55,-2.4,-7.5,-5.82,2.85,10,-0.19,-0.65,-0.17,-0.47,-0.29,-0.15,-0.48,-0.37,78.41
Existing,Sample watershed,SubArea,GWW,5,2008,1,0.98,1.02,-2.94,-9.5,-2.5,-7.35,-4.44,-2.38,-7.2,-5.61,2.85,9.6,-0.19,-0.6,-0.16,-0.47,-0.28,-0.15,-0.46,-0.36,84.15
Conventional,Sample watershed,SubArea,GWW,5,2009,1.03,0.96,1,-3.09,-9.6,-2.53,-7.28,-4.43,-2.63,-7.8,-6.09,3.12,10.4,-0.2,-0.61,-0.16,-0.46,-0.28,-0.17,-0.5,-0.39,84.45
Existing,Sample watershed,SubArea,GWW,5,2009,1.05,1,1.01,-2.85,-10.5,-2.4,-7.28,-4.35,-2.63,-7.43,-5.84,2.97,10.3,-0.18,-0.67,-0.15,-0.46,-0.28,-0.17,-0.47,-0.37,89.13
Conventional,Sample watershed,SubArea,GWW,5,2010,0.95,0.95,1.02,-2.88,-9.5,-2.55,-7.2,-4.41,-2.6,-7.2,-5.68,2.94,9.5,-0.18,-0.6,-0.16,-0.46,-0.28,-0.17,-0.46,-0.36,74.42
Existing,Sample watershed,SubArea,GWW,5,2010,1.01,1.04,0.99,-3.06,-9.9,-2.6,-7.65,-4.62,-2.4,-7.88,-6.07,2.91,10.2,-0.19,-0.63,-0.17,-0.49,-0.29,-0.15,-0.5,-0.39,81.8
Conventional,Sample watershed,SubArea,GWW,6,2001,1.05,0.97,1.05,-3.15,-10.4,-2.55,-7.35,-4.47,-2.43,-7.58,-5.88,3.09,10.4,-0.05,-0.17,-0.04,-0.12,-0.07,-0.04,-0.12,-0.1,18.31
Existing,Sample watershed,SubArea,GWW,6,2001,1.02,0.97,1.05,-2.97,-10,-2.5,-7.65,-4.56,-2.63,-7.8,-6.09,3.09,9.6,-0.05,-0.16,-0.04,-0.12,-0.07,-0.04,-0.13,-0.1,18.39
Conventional,Sample watershed,SubArea,GWW,6,2002,1.03,1,1.04,-3.12,-10.3,-2.63,-7.13,-4.43,-2.38,-7.58,-5.86,3.06,10.3,-0.05,-0.17,-0.04,-0.12,-0.07,-0.04,-0.12,-0.1,15.97
Existing,Sample watershed,SubArea,GWW,6,2002,1.03,1.01,0.99,-3.12,-10,-2.45,-7.43,-4.44,-2.6,-7.58,-5.93,3.09,10.4,-0.05,-0.16,-0.04,-0.12,-0.07,-0.04,-0.12,-0.1,15.41
Conventional,Sample watershed,SubArea,GWW,6,2003,1.05,1,1.03,-2.85,-9.5,-2.5,-7.35,-4.44,-2.55,-7.73,-6.02,3.03,10.4,-0.05,-0.15,-0.04,-0.12,-0.07,-0.04,-0.13,-0.1,19.92
Existing,Sample watershed,SubArea,GWW,6,2003,1.05,1.05,0.97,-2.91,-10.1,-2.58,-7.88,-4.7,-2.53,-7.73,-6.01,3.12,10.2,-0.05,-0.16,-0.04,-0.13,-0.08,-0.04,-0.13,-0.1,19.31
Conventional,Sample watershed,SubArea,GWW,6,2004,0.97,0.95,0.98,-3.03,-9.7,-2.4,-7.5,-4.44,-2.63,-7.5,-5.89,2.94,9.6,-0.05,-0.16,-0.04,-0.12,-0.07,-0.04,-0.12,-0.1,17.78
Existing,Sample watershed,SubArea,GWW,6,2004,0.96,0.96,0.98,-2.97,-10.5,-2.5,-7.43,-4.47,-2.45,-7.13,-5.58,2.91,10,-0.05,-0.17,-0.04,-0.12,-0.07,-0.04,-0.12,-0.09,18.48
Conventional,Sample watershed,SubArea,GWW,6,2005,0.98,1.01,1.04,-3.06,-9.9,-2.4,-7.35,-4.38,-2.48,-7.2,-5.64,2.88,9.6,-0.05,-0.16,-0.04,-0.12,-0.07,-0.04,-0.12,-0.09,17.21
Existing,Sample watershed,SubArea,GWW,6,2005,1.05,1.01,1.03,-3,-10.4,-2.43,-7.88,-4.61,-2.6,-7.28,-5.73,3.06,10.3,-0.05,-0.17,-0.04,-0.13,-0.07,-0.04,-0.12,-0.09,20.09
Conventional,Sample watershed,SubArea,GWW,6,2006,0.98,1.05,0.98,-3.03,-10.4,-2.38,-7.35,-4.37,-2.63,-7.88,-6.14,3.09,9.9,-0.05,-0.17,-0.04,-0.12,-0.07,-0.04,-0.13,-0.1,22.93
Existing,Sample watershed,SubArea,GWW,6,2006,0.95,1.01,1,-2.85,-10.3,-2.38,-7.88,-4.58,-2.5,-7.5,-5.85,2.88,9.8,-0.05,-0.17,-0.04,-0.13,-0.07,-0.04,-0.12,-0.09,15.38
Conventional,Sample watershed,SubArea,GWW,6,2007,0.96,1.02,1.04,-3.12,-10.2,-2.58,-7.35,-4.49,-2.53,-7.58,-5.91,2.97,9.8,-0.05,-0.17,-0.04,-0.12,-0.07,-0.04,-0.12,-0.1,21.48
Existing,Sample watershed,SubArea,GWW,6,2007,1.04,0.98,0.99,-2.88,-10.1,-2.53,-7.2,-4.4,-2.53,-7.8,-6.06,2.94,10.5,-0.05,-0.16,-0.04,-0.12,-0.07,-0.04,-0.13,-0.1,22.42
Conventional,Sample watershed,SubArea,GWW,6,2008,1.05,0.99,1,-2.88,-10,-2.55,-7.43,-4.5,-2.48,-7.35,-5.74,2.88,10,-0.05,-0.16,-0.04,-0.12,-0.07,-0.04,-0.12,-0.09,19.57
Existing,Sample watershed,SubArea,GWW,6,2008,0.95,1.04,1,-3.09,-10.2,-2.63,-7.13,-4.43,-2.4,-7.88,-6.07,3.15,10.5,-0.05,-0.17,-0.04,-0.12,-0.07,-0.04,-0.13,-0.1,21.27
