Scenario,Watershed,SubArea,Year,Precipitation,Temperature,Soil moisture,ET,Groundwater recharge,Runoff,TSS Yield,DN Yield,PN Yield,TN Yield,DP Yield,PP Yield,TP Yield,Soil carbon,Biodiversity
Conventional,Sample watershed,1,2001,558.8,4.42,213.2,440.24,15.71,102.85,1.99,13.65,9.49,23.14,1.37,2.77,4.14,156.52,0.53
Conventional,Sample watershed,2,2001,558.8,4.42,207.05,437.94,15.86,105,0.29,2.15,1.44,3.59,0.2,0.4,0.6,21.47,0.5
Conventional,Sample watershed,3,2001,558.8,4.42,223.22,446.68,17.62,94.5,0.54,4.2,2.67,6.87,0.37,0.79,1.16,48.91,0.48
Conventional,Sample watershed,4,2001,558.8,4.42,232.33,444.58,17.8,96.42,2.18,15.42,10.82,26.23,1.55,3.19,4.74,194.34,0.5
Conventional,Sample watershed,5,2001,558.8,4.42,223.22,443.45,17.97,97.39,2.96,21.38,14.41,35.79,2.03,3.96,5.99,251.38,0.48
Conventional,Sample watershed,6,2001,558.8,4.42,220.94,441.07,17.45,100.28,0.7,5.25,3.54,8.79,0.51,0.98,1.49,58.11,0.52
Conventional,Sample watershed,7,2001,558.8,4.42,230.05,450.26,16.94,91.6,0.96,6.58,4.53,11.1,0.69,1.33,2.02,80.54,0.5
Conventional,Sample watershed,8,2001,558.8,4.42,230.05,449.23,17.97,91.6,0,0.03,0.02,0.05,0,0.01,0.01,0.36,0.49
Conventional,Sample watershed,9,2001,558.8,4.42,225.5,443.96,17.45,97.39,1.69,13.2,8.9,22.1,1.2,2.28,3.48,150.76,0.48
Conventional,Sample watershed,10,2001,558.8,4.42,198.85,436.11,15.55,107.14,0.13,0.93,0.58,1.51,0.09,0.16,0.25,9.25,0.52
Conventional,Sample watershed,11,2001,558.8,4.42,198.85,439.18,14.63,105,2.61,17.41,12.72,30.13,1.68,3.67,5.36,189.96,0.5
Conventional,Sample watershed,12,2001,558.8,4.42,215.25,441.16,14.78,102.85,2.41,17.79,11.62,29.4,1.74,3.46,5.2,184.23,0.51
Conventional,Sample watershed,13,2001,558.8,4.42,194.75,431.98,15.4,111.42,0.59,4.49,2.82,7.31,0.43,0.87,1.3,46.59,0.51
Conventional,Sample watershed,14,2001,558.8,4.42,207.05,441.32,14.63,102.85,6.96,48.31,32.88,81.2,4.67,9.22,13.89,537.26,0.53
Conventional,Sample watershed,15,2001,558.8,4.42,213.2,436.56,16.17,106.07,1.4,9.76,6.38,16.14,0.93,1.96,2.89,105.34,0.51
Conventional,Sample watershed,16,2001,558.8,4.42,209.1,433.81,15.71,109.28,0.19,1.53,1.02,2.55,0.15,0.29,0.44,15.72,0.52
Conventional,Sample watershed,17,2001,558.8,4.42,51.25,147.9,3.77,407.12,0.28,1.98,1.38,3.36,0.2,0.38,0.57,5.57,0.51
Conventional,Sample watershed,18,2001,558.8,4.42,51.76,135.05,3.77,419.98,0.05,0.39,0.26,0.65,0.04,0.07,0.11,0.95,0.52
Conventional,Sample watershed,19,2001,558.8,4.42,227.77,440.1,17.45,101.25,1.17,9.19,6.13,15.33,0.84,1.65,2.49,99.78,0.49
Conventional,Sample watershed,20,2001,558.8,4.42,234.61,442.82,17.62,98.35,0.01,0.09,0.06,0.14,0.01,0.02,0.02,1.03,0.52
Conventional,Sample watershed,21,2001,558.8,4.42,227.77,443.06,16.43,99.32,3.46,25.52,17.19,42.71,2.42,4.92,7.34,285.28,0.51
Conventional,Sample watershed,22,2001,558.8,4.42,234.61,446.34,17.97,94.5,2.32,17.46,10.97,28.44,1.61,3.14,4.75,209.32,0.49
Conventional,Sample watershed,23,2001,558.8,4.42,236.89,442.26,16.26,100.28,0.29,2.06,1.33,3.39,0.21,0.41,0.62,25.46,0.53
Conventional,Sample watershed,24,2001,558.8,4.42,234.61,440.79,16.77,101.25,0.09,0.62,0.42,1.04,0.06,0.12,0.18,7.87,0.52
Conventional,Sample watershed,25,2001,558.8,4.42,239.16,446.34,17.97,94.5,0.93,6.83,4.79,11.62,0.64,1.36,2,82.75,0.52
Conventional,Sample watershed,26,2001,558.8,4.42,198.85,433.82,14.63,110.35,0.55,3.88,2.53,6.41,0.37,0.76,1.13,42.67,0.48
Conventional,Sample watershed,27,2001,558.8,4.42,200.9,436.87,15.86,106.07,0.97,6.82,4.55,11.37,0.62,1.35,1.97,74.35,0.49
Conventional,Sample watershed,28,2001,558.8,4.42,209.1,442.08,14.94,101.78,2.86,20.06,13.1,33.17,2,4.1,6.1,220.93,0.51
Conventional,Sample watershed,29,2001,558.8,4.42,215.25,432.13,15.25,111.42,2.56,19.67,12.74,32.41,1.77,3.68,5.45,208.15,0.53
Conventional,Sample watershed,1,2002,510.3,3.42,249.34,359.45,18,132.85,2.3,16.8,11.77,28.56,1.67,3.27,4.94,139.77,0.53
Conventional,Sample watershed,2,2002,510.3,3.42,229.98,359.62,19.09,131.58,0.33,2.57,1.71,4.28,0.24,0.45,0.69,18.77,0.49
Conventional,Sample watershed,3,2002,510.3,3.42,279.74,377.49,21.22,111.59,0.63,4.77,3.31,8.08,0.47,0.9,1.37,43.25,0.49
Conventional,Sample watershed,4,2002,510.3,3.42,274.36,370.33,20.41,119.56,2.54,17.83,12.39,30.22,1.78,3.62,5.4,173.54,0.5
Conventional,Sample watershed,5,2002,510.3,3.42,255.53,380.38,20.61,109.31,3.36,24.76,16.85,41.61,2.37,4.87,7.24,217.88,0.49
Conventional,Sample watershed,6,2002,510.3,3.42,255.53,376.1,19.2,115.01,0.86,5.72,4.14,9.86,0.59,1.11,1.71,56.21,0.48
Conventional,Sample watershed,7,2002,510.3,3.42,258.22,373.21,19.8,117.28,1.11,8.09,5.51,13.6,0.75,1.5,2.25,72.65,0.5
Conventional,Sample watershed,8,2002,510.3,3.42,258.22,375.69,19.6,115.01,0,0.04,0.02,0.06,0,0.01,0.01,0.32,0.51
Conventional,Sample watershed,9,2002,510.3,3.42,282.43,377.49,21.22,111.59,2.07,14.25,10.5,24.76,1.39,2.75,4.14,133.29,0.49
Conventional,Sample watershed,10,2002,510.3,3.42,234.82,369.39,18.19,122.72,0.14,1.11,0.7,1.81,0.11,0.21,0.31,8.69,0.49
Conventional,Sample watershed,11,2002,510.3,3.42,234.82,363.42,19.09,127.79,2.96,22.29,15.02,37.32,2.18,4.3,6.47,181.88,0.51
Conventional,Sample watershed,12,2002,510.3,3.42,229.98,369.03,17.28,123.99,3.05,21.43,13.72,35.15,2.07,4.3,6.37,167.98,0.51
Conventional,Sample watershed,13,2002,510.3,3.42,237.24,371.19,18.91,120.19,0.74,5.35,3.57,8.93,0.5,0.98,1.48,41.61,0.49
Conventional,Sample watershed,14,2002,510.3,3.42,239.66,363.25,18,129.05,8.46,61.13,39.22,100.35,5.29,11.22,16.52,456.25,0.48
Conventional,Sample watershed,15,2002,510.3,3.42,242.08,368.84,18.73,122.72,1.66,11.76,7.61,19.37,1.1,2.11,3.22,92.21,0.51
Conventional,Sample watershed,16,2002,510.3,3.42,242.08,367.41,17.64,125.25,0.23,1.79,1.21,3,0.17,0.33,0.5,14.04,0.52
